category,subcategory,symptoms,diagnosis_steps,chunk
Cooling System,Radiator/Cooling Fan,"['Engine overheating', 'AC not cooling at idle']","[{'step': 'Test radiator fan operation', 'result': ['Fan not spinning', 'Fan operates correctly']}, {'step': 'Inspect radiator fan motor and relay', 'result': ['Faulty motor/relay', 'Motor/relay functioning properly']}]",category cooling system subcategory radiator cooling fan symptoms engine overheating ac not cooling at idle diagnosis steps 1 test radiator fan operation fan not spinning fan operates correctly 2 inspect radiator fan motor and relay faulty motor relay motor relay functioning properly
Cooling System,Radiator Hose,"['Coolant leak under vehicle', 'Visible wear/cracks on hoses']","[{'step': 'Inspect radiator hoses for damage', 'result': ['Damaged hoses found', 'Hoses are in good condition']}, {'step': 'Check hose connections for leaks', 'result': ['Leaking connections', 'No leaks detected']}]",category cooling system subcategory radiator hose symptoms coolant leak under vehicle visible wear cracks on hoses diagnosis steps 1 inspect radiator hoses for damage damaged hoses found hoses are in good condition 2 check hose connections for leaks leaking connections no leaks detected
Cooling System,Water Pump,"['Engine overheating', 'Coolant leak near front of engine']","[{'step': 'Inspect water pump for leaks', 'result': ['Leaking pump', 'No leaks detected']}, {'step': 'Test water pump for proper operation', 'result': ['Faulty pump', 'Pump working correctly']}]",category cooling system subcategory water pump symptoms engine overheating coolant leak near front of engine diagnosis steps 1 inspect water pump for leaks leaking pump no leaks detected 2 test water pump for proper operation faulty pump pump working correctly
Drivetrain,Bevel Gears,"['Whining noise from drivetrain', 'Difficulty shifting gears']","[{'step': 'Inspect bevel gears for wear or damage', 'result': ['Worn/damaged gears', 'Gears in good condition']}, {'step': 'Check gear oil level and condition', 'result': ['Low/dirty gear oil', 'Sufficient/clean gear oil']}]",category drivetrain subcategory bevel gears symptoms whining noise from drivetrain difficulty shifting gears diagnosis steps 1 inspect bevel gears for wear or damage worn damaged gears gears in good condition 2 check gear oil level and condition low dirty gear oil sufficient clean gear oil
Drivetrain,Center Differential,"['Vehicle binding on turns', 'Noise from drivetrain while turning']","[{'step': 'Inspect center differential fluid', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Check for excessive play in center differential', 'result': ['Excessive play detected', 'No excessive play']}]",category drivetrain subcategory center differential symptoms vehicle binding on turns noise from drivetrain while turning diagnosis steps 1 inspect center differential fluid low dirty fluid clean sufficient fluid 2 check for excessive play in center differential excessive play detected no excessive play
Drivetrain,Clutch Cable,"['Clutch pedal feels loose', 'Difficulty engaging gears']","[{'step': 'Inspect clutch cable for fraying or stretching', 'result': ['Damaged cable', 'Intact cable']}, {'step': 'Adjust clutch cable tension', 'result': ['Incorrect tension', 'Correct tension']}]",category drivetrain subcategory clutch cable symptoms clutch pedal feels loose difficulty engaging gears diagnosis steps 1 inspect clutch cable for fraying or stretching damaged cable intact cable 2 adjust clutch cable tension incorrect tension correct tension
Drivetrain,Clutch Slave Cylinder,"['Clutch pedal feels spongy', 'Fluid leak near clutch pedal']","[{'step': 'Check clutch slave cylinder for leaks', 'result': ['Leaking cylinder', 'No leaks detected']}, {'step': 'Inspect clutch fluid level and condition', 'result': ['Low/dirty fluid', 'Sufficient/clean fluid']}]",category drivetrain subcategory clutch slave cylinder symptoms clutch pedal feels spongy fluid leak near clutch pedal diagnosis steps 1 check clutch slave cylinder for leaks leaking cylinder no leaks detected 2 inspect clutch fluid level and condition low dirty fluid sufficient clean fluid
Drivetrain,Differential,"['Whining noise from rear end', 'Vehicle vibration at high speeds']","[{'step': 'Inspect differential fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Check for differential bearing wear', 'result': ['Worn bearings', 'Bearings in good condition']}]",category drivetrain subcategory differential symptoms whining noise from rear end vehicle vibration at high speeds diagnosis steps 1 inspect differential fluid level and condition low dirty fluid clean sufficient fluid 2 check for differential bearing wear worn bearings bearings in good condition
Drivetrain,Live Axle,"['Axle noise while turning', 'Vehicle leans to one side']","[{'step': 'Inspect live axle for cracks or bending', 'result': ['Cracked/bent axle', 'Axle is intact']}, {'step': 'Check axle bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]",category drivetrain subcategory live axle symptoms axle noise while turning vehicle leans to one side diagnosis steps 1 inspect live axle for cracks or bending cracked bent axle axle is intact 2 check axle bearings for wear worn bearings bearings in good condition
Drivetrain,Rigid Axle,"['Vehicle bounces over bumps', 'Loud noise from rear axle']","[{'step': 'Inspect rigid axle for cracks or damage', 'result': ['Cracked/damaged axle', 'Axle in good condition']}, {'step': 'Check axle bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]",category drivetrain subcategory rigid axle symptoms vehicle bounces over bumps loud noise from rear axle diagnosis steps 1 inspect rigid axle for cracks or damage cracked damaged axle axle in good condition 2 check axle bearings for wear worn bearings bearings in good condition
Drivetrain,Slushbox,"['Transmission slipping', 'Delay in gear engagement']","[{'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect transmission for leaks', 'result': ['Leaking transmission', 'No leaks detected']}]",category drivetrain subcategory slushbox symptoms transmission slipping delay in gear engagement diagnosis steps 1 check transmission fluid level and condition low dirty fluid clean sufficient fluid 2 inspect transmission for leaks leaking transmission no leaks detected
Drivetrain,Universal Joint,"['Driveline vibration', 'Clunking noise when shifting']","[{'step': 'Inspect universal joint for wear or play', 'result': ['Worn/play detected', 'Joint in good condition']}, {'step': 'Check driveline alignment', 'result': ['Misaligned driveline', 'Properly aligned driveline']}]",category drivetrain subcategory universal joint symptoms driveline vibration clunking noise when shifting diagnosis steps 1 inspect universal joint for wear or play worn play detected joint in good condition 2 check driveline alignment misaligned driveline properly aligned driveline
Drivetrain,Viscous Coupling,"['Vehicle binding during turns', 'Noise from drivetrain while turning']","[{'step': 'Test viscous coupling operation', 'result': ['Coupling failure', 'Coupling functioning properly']}, {'step': 'Inspect viscous coupling fluid', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}]",category drivetrain subcategory viscous coupling symptoms vehicle binding during turns noise from drivetrain while turning diagnosis steps 1 test viscous coupling operation coupling failure coupling functioning properly 2 inspect viscous coupling fluid low dirty fluid clean sufficient fluid
Electrical System,Battery Replacement,"['Engine cranks slowly', 'Clicking sound when starting']","[{'step': 'Test battery voltage', 'result': ['Low voltage', 'Sufficient voltage']}, {'step': 'Inspect battery terminals for corrosion', 'result': ['Corroded terminals', 'Clean terminals']}]",category electrical system subcategory battery replacement symptoms engine cranks slowly clicking sound when starting diagnosis steps 1 test battery voltage low voltage sufficient voltage 2 inspect battery terminals for corrosion corroded terminals clean terminals
Electrical System,Charging System,"['Battery warning light on', 'Dim headlights']","[{'step': 'Test alternator output', 'result': ['Low output', 'Normal output']}, {'step': 'Check alternator belt tension', 'result': ['Loose belt', 'Properly tensioned belt']}]",category electrical system subcategory charging system symptoms battery warning light on dim headlights diagnosis steps 1 test alternator output low output normal output 2 check alternator belt tension loose belt properly tensioned belt
Electrical System,Check Engine Light Diagnosis,"['Check engine light on', 'Poor engine performance']","[{'step': 'Scan for diagnostic trouble codes (DTCs)', 'result': ['DTCs present', 'No DTCs']}, {'step': 'Check sensors related to DTCs', 'result': ['Faulty sensor', 'Sensor working properly']}]",category electrical system subcategory check engine light diagnosis symptoms check engine light on poor engine performance diagnosis steps 1 scan for diagnostic trouble codes dtcs dtcs present no dtcs 2 check sensors related to dtcs faulty sensor sensor working properly
Electrical System,Door Window Motor,"['Window does not move', 'Window moves intermittently']","[{'step': 'Test power to window motor', 'result': ['No power', 'Power present']}, {'step': 'Inspect window regulator for damage', 'result': ['Damaged regulator', 'Regulator intact']}]",category electrical system subcategory door window motor symptoms window does not move window moves intermittently diagnosis steps 1 test power to window motor no power power present 2 inspect window regulator for damage damaged regulator regulator intact
Electrical System,Door Window Regulator,"['Window off track', 'Window stuck in one position']","[{'step': 'Inspect window regulator mechanism', 'result': ['Mechanism jammed', 'Mechanism functioning']}, {'step': 'Check window alignment in tracks', 'result': ['Misaligned window', 'Properly aligned window']}]",category electrical system subcategory door window regulator symptoms window off track window stuck in one position diagnosis steps 1 inspect window regulator mechanism mechanism jammed mechanism functioning 2 check window alignment in tracks misaligned window properly aligned window
Electrical System,Headlamp Bulb,"['Headlight not working', 'Dim headlight']","[{'step': 'Inspect headlamp bulb for filament condition', 'result': ['Burnt out filament', 'Filament intact']}, {'step': 'Check headlamp socket for corrosion', 'result': ['Corroded socket', 'Clean socket']}]",category electrical system subcategory headlamp bulb symptoms headlight not working dim headlight diagnosis steps 1 inspect headlamp bulb for filament condition burnt out filament filament intact 2 check headlamp socket for corrosion corroded socket clean socket
Electrical System,Ignition Distributor Cap,"['Engine misfires', 'Difficulty starting engine']","[{'step': 'Inspect distributor cap for cracks or carbon tracks', 'result': ['Cracked/damaged cap', 'Cap in good condition']}, {'step': 'Check distributor rotor for wear', 'result': ['Worn rotor', 'Rotor in good condition']}]",category electrical system subcategory ignition distributor cap symptoms engine misfires difficulty starting engine diagnosis steps 1 inspect distributor cap for cracks or carbon tracks cracked damaged cap cap in good condition 2 check distributor rotor for wear worn rotor rotor in good condition
Electrical System,Ignition Wire Set,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test ignition wires for continuity', 'result': ['Broken wire', 'Wires intact']}, {'step': 'Inspect spark plug boots for damage', 'result': ['Damaged boots', 'Intact boots']}]",category electrical system subcategory ignition wire set symptoms engine misfires poor fuel economy diagnosis steps 1 test ignition wires for continuity broken wire wires intact 2 inspect spark plug boots for damage damaged boots intact boots
Electrical System,Power Door Lock Actuator,"['Door lock not responding', 'Clicking sound from door']","[{'step': 'Test power to door lock actuator', 'result': ['No power', 'Power present']}, {'step': 'Inspect actuator mechanism for obstruction', 'result': ['Obstructed mechanism', 'Clear mechanism']}]",category electrical system subcategory power door lock actuator symptoms door lock not responding clicking sound from door diagnosis steps 1 test power to door lock actuator no power power present 2 inspect actuator mechanism for obstruction obstructed mechanism clear mechanism
Electrical System,Starter Motor,"['Engine does not crank', 'Clicking sound when key is turned']","[{'step': 'Test starter motor solenoid', 'result': ['Faulty solenoid', 'Solenoid working properly']}, {'step': 'Inspect starter motor brushes for wear', 'result': ['Worn brushes', 'Brushes in good condition']}]",category electrical system subcategory starter motor symptoms engine does not crank clicking sound when key is turned diagnosis steps 1 test starter motor solenoid faulty solenoid solenoid working properly 2 inspect starter motor brushes for wear worn brushes brushes in good condition
Electrical System,Windshield Washer Pump,"['No washer fluid spray', 'Weak washer fluid spray']","[{'step': 'Test power to washer pump', 'result': ['No power', 'Power present']}, {'step': 'Inspect washer pump for clogs or damage', 'result': ['Clogged/damaged pump', 'Clean/intact pump']}]",category electrical system subcategory windshield washer pump symptoms no washer fluid spray weak washer fluid spray diagnosis steps 1 test power to washer pump no power power present 2 inspect washer pump for clogs or damage clogged damaged pump clean intact pump
Electrical System,Wiper Motor,"['Wipers not working', 'Wipers operate intermittently']","[{'step': 'Test power to wiper motor', 'result': ['No power', 'Power present']}, {'step': 'Inspect wiper motor linkage for wear', 'result': ['Worn linkage', 'Intact linkage']}]",category electrical system subcategory wiper motor symptoms wipers not working wipers operate intermittently diagnosis steps 1 test power to wiper motor no power power present 2 inspect wiper motor linkage for wear worn linkage intact linkage
Emissions System,Canister Purge Valve,"['Check engine light on', 'Rough idle']","[{'step': 'Test canister purge valve operation', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Check for leaks in purge valve hoses', 'result': ['Leaking hoses', 'No leaks']}]",category emissions system subcategory canister purge valve symptoms check engine light on rough idle diagnosis steps 1 test canister purge valve operation valve stuck open closed valve operates correctly 2 check for leaks in purge valve hoses leaking hoses no leaks
Emissions System,Catalytic Converter,"['Rotten egg smell from exhaust', 'Check engine light on']","[{'step': 'Inspect catalytic converter for physical damage', 'result': ['Damaged converter', 'Converter intact']}, {'step': 'Check catalytic converter efficiency', 'result': ['Low efficiency', 'High efficiency']}]",category emissions system subcategory catalytic converter symptoms rotten egg smell from exhaust check engine light on diagnosis steps 1 inspect catalytic converter for physical damage damaged converter converter intact 2 check catalytic converter efficiency low efficiency high efficiency
Emissions System,Charcoal Canister,"['Fuel odor from vehicle', 'Check engine light on']","[{'step': 'Test charcoal canister purge valve', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Inspect canister for cracks or damage', 'result': ['Cracked/damaged canister', 'Intact canister']}]",category emissions system subcategory charcoal canister symptoms fuel odor from vehicle check engine light on diagnosis steps 1 test charcoal canister purge valve valve stuck open closed valve operates correctly 2 inspect canister for cracks or damage cracked damaged canister intact canister
Emissions System,Exhaust Manifold,"['Loud exhaust noise', 'Exhaust smell in cabin']","[{'step': 'Inspect exhaust manifold for cracks or leaks', 'result': ['Cracked/leaking manifold', 'Intact manifold']}, {'step': 'Check exhaust manifold gasket for leaks', 'result': ['Leaking gasket', 'Good gasket']}]",category emissions system subcategory exhaust manifold symptoms loud exhaust noise exhaust smell in cabin diagnosis steps 1 inspect exhaust manifold for cracks or leaks cracked leaking manifold intact manifold 2 check exhaust manifold gasket for leaks leaking gasket good gasket
Emissions System,Exhaust Manifold Gasket,"['Loud exhaust noise', 'Visible exhaust leaks']","[{'step': 'Inspect exhaust manifold gasket for leaks', 'result': ['Leaking gasket', 'Good gasket']}, {'step': 'Check exhaust manifold bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]",category emissions system subcategory exhaust manifold gasket symptoms loud exhaust noise visible exhaust leaks diagnosis steps 1 inspect exhaust manifold gasket for leaks leaking gasket good gasket 2 check exhaust manifold bolts for tightness loose bolts tight bolts
Emissions System,Fuel Tank Pressure Sensor,"['Check engine light on', 'Gas cap warning light']","[{'step': 'Test fuel tank pressure sensor', 'result': ['Faulty sensor', 'Sensor working properly']}, {'step': 'Check fuel tank cap for proper seal', 'result': ['Loose cap', 'Sealed cap']}]",category emissions system subcategory fuel tank pressure sensor symptoms check engine light on gas cap warning light diagnosis steps 1 test fuel tank pressure sensor faulty sensor sensor working properly 2 check fuel tank cap for proper seal loose cap sealed cap
Emissions System,Knock Sensor,"['Engine knocking/pinging', 'Poor fuel economy']","[{'step': 'Test knock sensor operation', 'result': ['Faulty sensor', 'Sensor working properly']}, {'step': 'Inspect for engine misfire codes', 'result': ['Misfire codes present', 'No misfire codes']}]",category emissions system subcategory knock sensor symptoms engine knocking pinging poor fuel economy diagnosis steps 1 test knock sensor operation faulty sensor sensor working properly 2 inspect for engine misfire codes misfire codes present no misfire codes
Emissions System,M.A.P. Sensor,"['Check engine light on', 'Rough idle']","[{'step': 'Test M.A.P. sensor voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect M.A.P. sensor vacuum hose', 'result': ['Leaking hose', 'Intact hose']}]",category emissions system subcategory m a p sensor symptoms check engine light on rough idle diagnosis steps 1 test m a p sensor voltage low voltage normal voltage 2 inspect m a p sensor vacuum hose leaking hose intact hose
Emissions System,Oxygen Sensor,"['Check engine light on', 'Poor fuel economy']","[{'step': 'Test oxygen sensor voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect oxygen sensor wiring for damage', 'result': ['Damaged wiring', 'Intact wiring']}]",category emissions system subcategory oxygen sensor symptoms check engine light on poor fuel economy diagnosis steps 1 test oxygen sensor voltage low voltage normal voltage 2 inspect oxygen sensor wiring for damage damaged wiring intact wiring
Engine Components,Balance Shaft,"['Engine vibration', 'Rough idle']","[{'step': 'Inspect balance shaft for wear or damage', 'result': ['Worn/damaged shaft', 'Shaft in good condition']}, {'step': 'Check balance shaft alignment', 'result': ['Misaligned shaft', 'Properly aligned shaft']}]",category engine components subcategory balance shaft symptoms engine vibration rough idle diagnosis steps 1 inspect balance shaft for wear or damage worn damaged shaft shaft in good condition 2 check balance shaft alignment misaligned shaft properly aligned shaft
Engine Components,Boost Pressure,"['Loss of power', 'Turbo lag']","[{'step': 'Check boost pressure with gauge', 'result': ['Low boost pressure', 'Normal boost pressure']}, {'step': 'Inspect intercooler for leaks or damage', 'result': ['Leaking/damaged intercooler', 'Intact intercooler']}]",category engine components subcategory boost pressure symptoms loss of power turbo lag diagnosis steps 1 check boost pressure with gauge low boost pressure normal boost pressure 2 inspect intercooler for leaks or damage leaking damaged intercooler intact intercooler
Engine Components,Diesel Injection Pump,"['Engine misfires', 'Black smoke from exhaust']","[{'step': 'Test diesel injection pump pressure', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect diesel injectors for leaks or clogs', 'result': ['Leaking/clogged injectors', 'Clean/in-tolerance injectors']}]",category engine components subcategory diesel injection pump symptoms engine misfires black smoke from exhaust diagnosis steps 1 test diesel injection pump pressure low pressure normal pressure 2 inspect diesel injectors for leaks or clogs leaking clogged injectors clean in tolerance injectors
Engine Components,Diesel Glow Plug,"['Hard starting in cold weather', 'Glow plug indicator light stays on']","[{'step': 'Test glow plug resistance', 'result': ['High resistance', 'Normal resistance']}, {'step': 'Inspect glow plug for carbon buildup', 'result': ['Carbon buildup', 'Clean plug']}]",category engine components subcategory diesel glow plug symptoms hard starting in cold weather glow plug indicator light stays on diagnosis steps 1 test glow plug resistance high resistance normal resistance 2 inspect glow plug for carbon buildup carbon buildup clean plug
Engine Components,Engine Mounts,"['Excessive engine movement', 'Clunking noise when accelerating']","[{'step': 'Inspect engine mounts for wear or damage', 'result': ['Worn/damaged mounts', 'Mounts in good condition']}, {'step': 'Check mounting bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]",category engine components subcategory engine mounts symptoms excessive engine movement clunking noise when accelerating diagnosis steps 1 inspect engine mounts for wear or damage worn damaged mounts mounts in good condition 2 check mounting bolts for tightness loose bolts tight bolts
