category,subcategory,symptoms,diagnosis_steps
Emissions System,Canister Purge Valve,"['Check engine light on', 'Rough idle']","[{'step': 'Test canister purge valve operation', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Check for leaks in purge valve hoses', 'result': ['Leaking hoses', 'No leaks']}]"
Emissions System,Catalytic Converter,"['Rotten egg smell from exhaust', 'Check engine light on']","[{'step': 'Inspect catalytic converter for physical damage', 'result': ['Damaged converter', 'Converter intact']}, {'step': 'Check catalytic converter efficiency', 'result': ['Low efficiency', 'High efficiency']}]"
Emissions System,Charcoal Canister,"['Fuel odor from vehicle', 'Check engine light on']","[{'step': 'Test charcoal canister purge valve', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Inspect canister for cracks or damage', 'result': ['Cracked/damaged canister', 'Intact canister']}]"
Emissions System,Exhaust Manifold,"['Loud exhaust noise', 'Exhaust smell in cabin']","[{'step': 'Inspect exhaust manifold for cracks or leaks', 'result': ['Cracked/leaking manifold', 'Intact manifold']}, {'step': 'Check exhaust manifold gasket for leaks', 'result': ['Leaking gasket', 'Good gasket']}]"
Emissions System,Exhaust Manifold Gasket,"['Loud exhaust noise', 'Visible exhaust leaks']","[{'step': 'Inspect exhaust manifold gasket for leaks', 'result': ['Leaking gasket', 'Good gasket']}, {'step': 'Check exhaust manifold bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]"
Emissions System,Fuel Tank Pressure Sensor,"['Check engine light on', 'Gas cap warning light']","[{'step': 'Test fuel tank pressure sensor', 'result': ['Faulty sensor', 'Sensor working properly']}, {'step': 'Check fuel tank cap for proper seal', 'result': ['Loose cap', 'Sealed cap']}]"
Emissions System,Knock Sensor,"['Engine knocking/pinging', 'Poor fuel economy']","[{'step': 'Test knock sensor operation', 'result': ['Faulty sensor', 'Sensor working properly']}, {'step': 'Inspect for engine misfire codes', 'result': ['Misfire codes present', 'No misfire codes']}]"
Emissions System,M.A.P. Sensor,"['Check engine light on', 'Rough idle']","[{'step': 'Test M.A.P. sensor voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect M.A.P. sensor vacuum hose', 'result': ['Leaking hose', 'Intact hose']}]"
Emissions System,Oxygen Sensor,"['Check engine light on', 'Poor fuel economy']","[{'step': 'Test oxygen sensor voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect oxygen sensor wiring for damage', 'result': ['Damaged wiring', 'Intact wiring']}]"
Engine Components,Balance Shaft,"['Engine vibration', 'Rough idle']","[{'step': 'Inspect balance shaft for wear or damage', 'result': ['Worn/damaged shaft', 'Shaft in good condition']}, {'step': 'Check balance shaft alignment', 'result': ['Misaligned shaft', 'Properly aligned shaft']}]"
Engine Components,Boost Pressure,"['Loss of power', 'Turbo lag']","[{'step': 'Check boost pressure with gauge', 'result': ['Low boost pressure', 'Normal boost pressure']}, {'step': 'Inspect intercooler for leaks or damage', 'result': ['Leaking/damaged intercooler', 'Intact intercooler']}]"
Engine Components,Diesel Injection Pump,"['Engine misfires', 'Black smoke from exhaust']","[{'step': 'Test diesel injection pump pressure', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect diesel injectors for leaks or clogs', 'result': ['Leaking/clogged injectors', 'Clean/in-tolerance injectors']}]"
Engine Components,Diesel Glow Plug,"['Hard starting in cold weather', 'Glow plug indicator light stays on']","[{'step': 'Test glow plug resistance', 'result': ['High resistance', 'Normal resistance']}, {'step': 'Inspect glow plug for carbon buildup', 'result': ['Carbon buildup', 'Clean plug']}]"
Engine Components,Engine Mounts,"['Excessive engine movement', 'Clunking noise when accelerating']","[{'step': 'Inspect engine mounts for wear or damage', 'result': ['Worn/damaged mounts', 'Mounts in good condition']}, {'step': 'Check mounting bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]"
Engine Components,Exhaust Valve,"['Engine misfires', 'Rough idle']","[{'step': 'Inspect exhaust valve for carbon buildup', 'result': ['Buildup on valve', 'Clean valve']}, {'step': 'Check valve clearance', 'result': ['Incorrect clearance', 'Correct clearance']}]"
Engine Components,Fuel Injector,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test fuel injector spray pattern', 'result': ['Irregular spray pattern', 'Uniform spray pattern']}, {'step': 'Inspect injector for leaks or clogs', 'result': ['Leaking/clogged injector', 'Clean/in-tolerance injector']}]"
Engine Components,Idle Air Control Valve,"['Erratic idle speed', 'Stalling at idle']","[{'step': 'Test IAC valve for proper operation', 'result': ['Valve stuck open/closed', 'Valve operates correctly']}, {'step': 'Clean throttle body and IAC valve', 'result': ['Dirty components', 'Clean components']}]"
Engine Components,Intake Valve,"['Engine misfires', 'Rough idle']","[{'step': 'Inspect intake valve for carbon buildup', 'result': ['Buildup on valve', 'Clean valve']}, {'step': 'Check valve clearance', 'result': ['Incorrect clearance', 'Correct clearance']}]"
Engine Components,Oil Pump,"['Low oil pressure warning light', 'Engine knocking noise']","[{'step': 'Test oil pressure with gauge', 'result': ['Low oil pressure', 'Normal oil pressure']}, {'step': 'Inspect oil pump for wear or damage', 'result': ['Worn/damaged pump', 'Pump in good condition']}]"
Engine Components,Piston Rings,"['Blue smoke from exhaust', 'Loss of engine power']","[{'step': 'Perform compression test', 'result': ['Low compression', 'Good compression']}, {'step': 'Inspect piston rings for wear or damage', 'result': ['Worn/damaged rings', 'Rings in good condition']}]"
Engine Components,Timing Belt,"['Engine misfires', ""Engine won't start""]","[{'step': 'Inspect timing belt for wear or damage', 'result': ['Worn/damaged belt', 'Belt in good condition']}, {'step': 'Check timing marks for alignment', 'result': ['Misaligned timing marks', 'Properly aligned marks']}]"
Engine Components,Valve Cover Gasket,"['Oil leak around valve cover', 'Burning oil smell from engine bay']","[{'step': 'Inspect valve cover gasket for leaks', 'result': ['Leaking gasket', 'Good gasket seal']}, {'step': 'Check valve cover bolts for tightness', 'result': ['Loose bolts', 'Tight bolts']}]"
Engine Components,Fan Belt,"['Engine overheating', 'Squealing noise from engine bay']","[{'step': 'Inspect fan belt for cuts or wear', 'result': ['Cut/worn belt', 'Belt in good condition']}, {'step': 'Check belt tension and alignment', 'result': ['Loose/misaligned belt', 'Properly tensioned/aligned belt']}]"
Electrical System,Horn,['No sound when horn button pressed'],"[{'step': 'Check horn fuse', 'result': ['Blown fuse', 'Fuse intact']}, {'step': 'Test horn relay for operation', 'result': ['Faulty relay', 'Relay working properly']}]"
Electrical System,Battery Charging,"['Battery warning light on', 'Low voltage']","[{'step': 'Test battery voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect alternator for proper operation', 'result': ['Faulty alternator', 'Alternator working correctly']}]"
Engine Components,Engine Belt,"['Engine performance issues', 'Squealing noise from engine bay']","[{'step': 'Inspect engine belt for cuts or wear', 'result': ['Cut/worn belt', 'Belt in good condition']}, {'step': 'Check belt tension and alignment', 'result': ['Loose/misaligned belt', 'Properly tensioned/aligned belt']}]"
Steering,Steering Noise,['Noise when turning steering wheel'],"[{'step': 'Inspect power steering fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Check power steering pump and hoses for leaks', 'result': ['Leaking pump/hoses', 'Pump and hoses in good condition']}]"
Drivetrain,Shaft and Tires,"['Uneven tire wear', 'Vibration while driving']","[{'step': 'Inspect shaft for balance and alignment', 'result': ['Imbalanced/misaligned shaft', 'Properly balanced/aligned shaft']}, {'step': 'Check tire pressure and condition', 'result': ['Low/inappropriate pressure', 'Correct tire pressure and condition']}]"
Engine Compartment,Air Filter,"['Decreased engine performance', 'Black smoke from exhaust']","[{'step': 'Inspect air filter for clogs or dirt', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace air filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]"
Engine Compartment,Engine Control Unit (ECU),"['Engine misfires', 'Poor fuel economy']","[{'step': 'Check ECU for fault codes', 'result': ['Fault codes present', 'No fault codes']}, {'step': 'Inspect ECU wiring harness for damage', 'result': ['Damaged harness', 'Intact harness']}]"
Engine Compartment,Engine Oil,"['Low oil pressure warning light', 'Loud engine noise']","[{'step': 'Check engine oil level and condition', 'result': ['Low/dirty oil', 'Clean/sufficient oil']}, {'step': 'Inspect for oil leaks', 'result': ['Oil leaks present', 'No leaks detected']}]"
Engine Compartment,Fuel Filter,"['Engine stalls at high speeds', 'Poor acceleration']","[{'step': 'Inspect fuel filter for clogs or debris', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace fuel filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]"
Engine Compartment,PCV Valve,"['Oil leaks', 'Rough idle']","[{'step': 'Inspect PCV valve for clogs', 'result': ['Clogged valve', 'Valve clear']}, {'step': 'Check PCV valve hose for cracks', 'result': ['Cracked hose', 'Intact hose']}]"
Engine Compartment,Throttle Body,"['Poor acceleration', 'Stalling at idle']","[{'step': 'Inspect throttle body for carbon buildup', 'result': ['Buildup present', 'Clean throttle body']}, {'step': 'Test throttle position sensor (TPS)', 'result': ['Faulty TPS', 'TPS working correctly']}]"
Fuel System,Fuel Injector,"['Engine misfires', 'Poor fuel economy']","[{'step': 'Test fuel injector spray pattern', 'result': ['Irregular spray pattern', 'Uniform spray pattern']}, {'step': 'Inspect injector for leaks or clogs', 'result': ['Leaking/clogged injector', 'Clean/in-tolerance injector']}]"
Fuel System,Fuel Pressure Regulator,"['Engine stalls', 'Black smoke from exhaust']","[{'step': 'Test fuel pressure regulator operation', 'result': ['Regulator malfunction', 'Regulator functions correctly']}, {'step': 'Check fuel pressure at regulator', 'result': ['Low/high pressure', 'Correct pressure']}]"
Fuel System,Fuel Pump,"['Engine sputters at high speeds', 'Loss of power']","[{'step': 'Test fuel pump pressure', 'result': ['Low pressure', 'Normal pressure']}, {'step': 'Inspect fuel pump for leaks or damage', 'result': ['Leaking/damaged pump', 'Intact pump']}]"
Fuel System,Fuel Tank,"['Fuel odor inside vehicle', 'Visible fuel leak under vehicle']","[{'step': 'Inspect fuel tank for leaks or damage', 'result': ['Leaking/damaged tank', 'Tank in good condition']}, {'step': 'Check fuel filler cap for seal', 'result': ['Loose/broken cap', 'Cap seals properly']}]"
Fuel System,Throttle Position Sensor,"['Engine hesitates on acceleration', 'Stalling at idle']","[{'step': 'Test throttle position sensor (TPS) voltage', 'result': ['Low voltage', 'Normal voltage']}, {'step': 'Inspect TPS wiring for damage or corrosion', 'result': ['Damaged/corroded wiring', 'Intact wiring']}]"
Liquid Systems,Brake Fluid,"['Soft brake pedal', 'Brake warning light on']","[{'step': 'Check brake fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect brake lines for leaks', 'result': ['Leaking lines', 'Lines in good condition']}]"
Liquid Systems,Coolant Reservoir,"['Engine overheating', 'Low coolant warning light']","[{'step': 'Check coolant level in reservoir', 'result': ['Low coolant level', 'Sufficient coolant level']}, {'step': 'Inspect reservoir for cracks or leaks', 'result': ['Cracked/leaking reservoir', 'Intact reservoir']}]"
Liquid Systems,Power Steering Fluid,"['Whining noise when turning', 'Stiff steering wheel']","[{'step': 'Check power steering fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect power steering hoses for leaks', 'result': ['Leaking hoses', 'Hoses in good condition']}]"
Liquid Systems,Radiator,"['Engine overheating', 'Coolant leak']","[{'step': 'Inspect radiator for leaks or damage', 'result': ['Leaking/damaged radiator', 'Radiator in good condition']}, {'step': 'Check radiator cap for proper seal', 'result': ['Loose/broken cap', 'Cap seals properly']}]"
Liquid Systems,Windshield Washer Fluid,"['No washer fluid spray', 'Weak washer fluid spray']","[{'step': 'Check washer fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect washer fluid pump for operation', 'result': ['Faulty pump', 'Pump operates correctly']}]"
Transmission,Clutch Master Cylinder,"['Soft clutch pedal', 'Clutch slipping']","[{'step': 'Check clutch fluid level', 'result': ['Low fluid level', 'Sufficient fluid level']}, {'step': 'Inspect master cylinder for leaks', 'result': ['Leaking cylinder', 'Cylinder in good condition']}]"
Transmission,Torque Converter,"['Slipping gears', 'Shuddering during acceleration']","[{'step': 'Inspect torque converter for leaks or damage', 'result': ['Leaking/damaged converter', 'Converter in good condition']}, {'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}]"
Transmission,Transmission Fluid,"['Gears slipping', 'Transmission overheating']","[{'step': 'Check transmission fluid level and condition', 'result': ['Low/dirty fluid', 'Clean/sufficient fluid']}, {'step': 'Inspect transmission pan and seals for leaks', 'result': ['Leaking pan/seals', 'Pan/seals in good condition']}]"
Transmission,Transmission Filter,"['Delayed shifting', 'Transmission slipping']","[{'step': 'Inspect transmission filter for clogs or debris', 'result': ['Clogged/dirty filter', 'Clean filter']}, {'step': 'Replace transmission filter if necessary', 'result': ['Replace filter', 'Filter in good condition']}]"
Transmission,Transmission Solenoid,"['Erratic shifting', ""Transmission won't shift gears""]","[{'step': 'Test transmission solenoids for electrical continuity', 'result': ['Faulty solenoid', 'Solenoid working correctly']}, {'step': 'Inspect wiring harness for damage or corrosion', 'result': ['Damaged/corroded wiring', 'Intact wiring']}]"
Wheels & Tires,Wheel Bearing,"['Grinding noise from wheels', 'Uneven tire wear']","[{'step': 'Check wheel bearing for play', 'result': ['Loose/worn bearing', 'Bearing in good condition']}, {'step': 'Inspect bearing for signs of damage or corrosion', 'result': ['Damaged/corroded bearing', 'Clean/intact bearing']}]"
Wheels & Tires,Tire Pressure Monitoring System (TPMS),"['TPMS warning light on', 'Low tire pressure']","[{'step': 'Check tire pressures with gauge', 'result': ['Low/high pressure', 'Correct pressure']}, {'step': 'Inspect TPMS sensors for damage or corrosion', 'result': ['Damaged/corroded sensors', 'Clean/intact sensors']}]"
Wheels & Tires,Wheel Hub,"['Clicking or popping noise when turning', 'Wheel wobbling']","[{'step': 'Inspect wheel hub for play or bearing noise', 'result': ['Loose/worn hub', 'Hub in good condition']}, {'step': 'Check wheel bearings for wear', 'result': ['Worn bearings', 'Bearings in good condition']}]"
